Time,Channel1,Channel2,Channel3,Channel4,Channel5,Channel6
0,0,-12.5,3.125,0,-3.125,3.125
0.02,3.125,-12.5,3.125,0,-3.125,3.125
0.04,0,-12.5,3.125,0,-3.125,3.125
0.06,3.125,-12.5,3.125,0,-3.125,3.125
0.08,3.125,-12.5,3.125,0,-3.125,3.125
0.1,3.125,-12.5,3.125,0,-3.125,3.125
0.12,0,-12.5,3.125,0,-3.125,3.125
0.14,-3.125,-12.5,6.25,0,-3.125,3.125
0.16,-6.25,-12.5,12.5,0,-3.125,3.125
0.18,-9.375,-12.5,12.5,0,-3.125,3.125
0.2,-6.25,-12.5,9.375,0,-3.125,3.125
0.22,-3.125,-12.5,6.25,0,-3.125,3.125
0.24,-3.125,-12.5,6.25,0,-3.125,3.125
0.26,-3.125,-12.5,6.25,0,-3.125,3.125
0.28,0,-12.5,9.375,0,-3.125,3.125
0.3,0,-12.5,9.375,0,-3.125,0
0.32,0,-12.5,6.25,0,-3.125,3.125
0.34,3.125,-12.5,3.125,0,-3.125,0
0.36,3.125,-12.5,0,0,-3.125,3.125
0.38,3.125,-12.5,0,0,-3.125,0
0.4,3.125,-12.5,0,0,-3.125,3.125
0.42,0,-12.5,0,0,-3.125,3.125
0.44,3.125,-12.5,0,0,-3.125,3.125
0.46,0,-12.5,-3.125,0,0,3.125
0.48,0,-9.375,0,0,-3.125,3.125
0.5,0,-12.5,0,0,0,3.125
0.52,-3.125,-12.5,3.125,0,-3.125,3.125
0.54,0,-12.5,3.125,-3.125,-3.125,0
0.56,0,-12.5,3.125,-3.125,-3.125,0
0.58,3.125,-9.375,3.125,0,-3.125,3.125
0.6,0,-12.5,0,0,-3.125,0
0.62,3.125,-12.5,0,0,-3.125,3.125
0.64,0,-12.5,0,0,-3.125,0
0.66,0,-12.5,0,-3.125,-3.125,0
0.68,3.125,-12.5,0,0,-3.125,0
0.7,0,-9.375,3.125,0,-3.125,3.125
0.72,0,-12.5,0,0,-3.125,3.125
0.74,0,-9.375,0,0,-3.125,0
0.76,0,-9.375,3.125,0,-3.125,3.125
0.78,0,-9.375,0,0,-3.125,0
0.8,-3.125,-9.375,0,0,-3.125,0
0.82,-6.25,-12.5,6.25,-3.125,-3.125,0
0.84,-6.25,-9.375,9.375,0,-3.125,0
0.86,-6.25,-9.375,6.25,0,-3.125,0
0.88,-3.125,-12.5,6.25,-3.125,-3.125,0
0.9,-3.125,-9.375,3.125,-3.125,-3.125,0
0.92,-3.125,-9.375,3.125,0,-3.125,0
0.94,-3.125,-9.375,3.125,0,-3.125,0
0.96,-3.125,-9.375,6.25,0,-3.125,0
0.98,0,-9.375,6.25,0,-3.125,0
1,0,-9.375,3.125,-3.125,-3.125,0
1.02,0,-9.375,3.125,0,-3.125,0
1.04,0,-9.375,3.125,0,-3.125,0
1.06,0,-9.375,3.125,0,-3.125,0
1.08,0,-9.375,3.125,0,0,0
1.1,0,-9.375,3.125,-3.125,-3.125,0
1.12,0,-9.375,3.125,0,-3.125,0
1.14,0,-9.375,3.125,0,-3.125,0
1.16,0,-9.375,3.125,0,-3.125,0
1.18,0,-9.375,3.125,0,-3.125,0
1.2,0,-9.375,3.125,0,-3.125,0
1.22,0,-9.375,3.125,0,-3.125,0
1.24,3.125,-9.375,3.125,0,-3.125,0
1.26,0,-9.375,0,0,-3.125,0
1.28,0,-9.375,0,-3.125,-3.125,0
1.3,0,-9.375,3.125,-3.125,-3.125,0
1.32,0,-9.375,0,-3.125,-3.125,0
1.34,0,-9.375,3.125,-3.125,-3.125,0
1.36,0,-9.375,3.125,0,-3.125,0
1.38,0,-9.375,3.125,0,-3.125,0
1.4,0,-9.375,3.125,0,-3.125,0
1.42,0,-9.375,3.125,-3.125,-3.125,0
1.44,0,-9.375,3.125,-3.125,-3.125,0
1.46,0,-9.375,3.125,0,-3.125,0
1.48,0,-9.375,0,-3.125,-3.125,0
1.5,0,-9.375,0,-3.125,-3.125,0
1.52,0,-9.375,3.125,0,-3.125,0
1.54,0,-9.375,3.125,0,-3.125,0
1.56,0,-9.375,3.125,0,-3.125,0
1.58,0,-9.375,3.125,0,-3.125,0
1.6,0,-9.375,3.125,-3.125,-3.125,0
1.62,0,-9.375,0,-3.125,-3.125,0
1.64,0,-9.375,3.125,0,-3.125,0
1.66,0,-9.375,3.125,-3.125,-3.125,0
1.68,0,-9.375,3.125,0,-3.125,0
1.7,0,-9.375,3.125,0,-3.125,0
1.72,0,-9.375,3.125,-3.125,-3.125,0
1.74,0,-9.375,3.125,-3.125,-3.125,0
1.76,0,-9.375,6.25,-3.125,-3.125,0
1.78,0,-9.375,6.25,-3.125,-3.125,0
1.8,0,-9.375,6.25,0,-3.125,0
1.82,0,-9.375,3.125,0,-3.125,0
1.84,0,-9.375,3.125,-3.125,-3.125,0
1.86,0,-9.375,3.125,0,-3.125,0
1.88,0,-9.375,6.25,0,-3.125,0
1.9,0,-9.375,3.125,0,-3.125,0
1.92,0,-9.375,-3.125,0,-3.125,0
1.94,0,-9.375,-3.125,-3.125,-3.125,0
1.96,0,-9.375,-3.125,0,0,0
1.98,0,-9.375,-3.125,-3.125,-3.125,0
2,0,-9.375,9.375,-12.5,-3.125,0
2.02,0,-9.375,3.125,-3.125,-3.125,0
2.04,0,-9.375,0,0,-3.125,0
2.06,0,-9.375,3.125,-3.125,-3.125,0
2.08,0,-9.375,6.25,0,-3.125,0
2.1,0,-9.375,3.125,0,-3.125,0
2.12,0,-9.375,3.125,-3.125,-3.125,0
2.14,0,-9.375,0,-3.125,-3.125,0
2.16,0,-9.375,0,0,-3.125,0
2.18,0,-9.375,3.125,-3.125,-3.125,0
2.2,0,-9.375,6.25,-3.125,-3.125,0
2.22,0,-9.375,3.125,-3.125,-3.125,0
2.24,0,-9.375,3.125,0,-3.125,0
2.26,0,-9.375,3.125,0,-3.125,0
2.28,0,-9.375,3.125,-3.125,-3.125,0
2.3,0,-9.375,3.125,0,-3.125,0
2.32,0,-6.25,3.125,0,-3.125,0
2.34,0,-9.375,3.125,-3.125,-3.125,0
2.36,0,-9.375,3.125,-3.125,-3.125,0
2.38,-3.125,-9.375,3.125,-3.125,-3.125,0
2.4,0,-9.375,3.125,-3.125,-3.125,0
2.42,0,-6.25,3.125,0,-3.125,0
2.44,0,-6.25,3.125,-3.125,-3.125,0
2.46,0,-6.25,3.125,-3.125,-3.125,0
2.48,0,-9.375,3.125,0,-3.125,0
2.5,0,-6.25,3.125,0,-3.125,0
2.52,0,-6.25,3.125,-3.125,-3.125,0
2.54,0,-6.25,3.125,0,-3.125,0
2.56,0,-9.375,3.125,-3.125,-3.125,0
2.58,0,-9.375,3.125,-3.125,-3.125,0
2.6,0,-9.375,3.125,-3.125,-3.125,0
2.62,0,-6.25,3.125,0,-3.125,0
2.64,0,-9.375,3.125,-3.125,-3.125,0
2.66,0,-6.25,3.125,-3.125,-3.125,0
2.68,0,-6.25,3.125,-3.125,-3.125,0
2.7,0,-6.25,3.125,-3.125,-3.125,0
2.72,0,-6.25,3.125,0,-3.125,0
2.74,0,-6.25,3.125,-3.125,-3.125,0
2.76,0,-6.25,3.125,0,-3.125,0
2.78,0,-6.25,3.125,0,-3.125,0
2.8,0,-6.25,3.125,0,-3.125,0
2.82,0,-6.25,3.125,-3.125,-3.125,0
2.84,0,-6.25,3.125,0,-3.125,0
2.86,0,-9.375,3.125,-3.125,-3.125,0
2.88,0,-6.25,3.125,-3.125,-3.125,0
2.9,0,-6.25,3.125,-3.125,-3.125,0
2.92,0,-6.25,3.125,-3.125,-3.125,0
2.94,0,-6.25,3.125,-3.125,-3.125,0
2.96,0,-6.25,3.125,0,-3.125,0
2.98,0,-6.25,3.125,0,-3.125,0
3,0,-6.25,3.125,0,-3.125,0
3.02,0,-6.25,3.125,0,-3.125,0
3.04,0,-6.25,3.125,0,-3.125,0
3.06,0,-6.25,3.125,0,-3.125,0
3.08,0,-6.25,3.125,-3.125,-3.125,0
3.1,0,-6.25,3.125,-3.125,-3.125,0
3.12,0,-6.25,3.125,-3.125,-3.125,0
3.14,0,-6.25,3.125,-3.125,-3.125,0
3.16,-3.125,-6.25,3.125,-3.125,-3.125,0
3.18,0,-6.25,3.125,-3.125,-3.125,0
3.2,0,-6.25,3.125,-3.125,-3.125,0
3.22,0,-6.25,3.125,-3.125,-3.125,0
3.24,0,-6.25,3.125,-3.125,-3.125,0
3.26,0,-6.25,3.125,0,-3.125,0
3.28,0,-6.25,3.125,0,-3.125,0
3.3,0,-6.25,3.125,-3.125,-3.125,0
3.32,0,-6.25,3.125,-3.125,-3.125,0
3.34,0,-6.25,0,-3.125,-3.125,0
3.36,0,-6.25,3.125,-3.125,-3.125,0
3.38,0,-6.25,3.125,-3.125,-3.125,0
3.4,0,-6.25,3.125,-3.125,-3.125,0
3.42,0,-6.25,3.125,-3.125,-3.125,0
3.44,0,-6.25,3.125,-3.125,-3.125,0
3.46,0,-6.25,3.125,-3.125,-3.125,0
3.48,0,-6.25,3.125,-3.125,-3.125,0
3.5,0,-6.25,3.125,-3.125,-3.125,0
3.52,0,-6.25,3.125,-3.125,-3.125,0
3.54,0,-6.25,3.125,-3.125,-3.125,0
3.56,0,-6.25,3.125,0,-3.125,0
3.58,0,-6.25,3.125,-3.125,-3.125,0
3.6,0,-6.25,3.125,-3.125,-3.125,0
3.62,0,-6.25,3.125,-3.125,-3.125,0
3.64,0,-6.25,3.125,-3.125,-3.125,0
3.66,0,-6.25,3.125,-3.125,-3.125,0
3.68,0,-6.25,3.125,-3.125,-3.125,0
3.7,0,-6.25,3.125,-3.125,-3.125,0
3.72,0,-6.25,3.125,-3.125,-3.125,0
3.74,0,-6.25,3.125,-3.125,-3.125,0
3.76,0,-6.25,3.125,-3.125,-3.125,0
3.78,0,-6.25,3.125,-3.125,-3.125,0
3.8,0,-6.25,3.125,0,-3.125,0
3.82,0,-6.25,3.125,-3.125,-3.125,0
3.84,0,-6.25,3.125,-3.125,-3.125,0
3.86,0,-6.25,3.125,-3.125,-3.125,0
3.88,0,-6.25,3.125,-3.125,-3.125,0
3.9,0,-6.25,3.125,-3.125,-3.125,0
3.92,0,-6.25,3.125,0,-3.125,0
3.94,0,-6.25,3.125,-3.125,-3.125,0
3.96,0,-6.25,3.125,-3.125,-3.125,0
3.98,0,-6.25,3.125,-3.125,-3.125,0
4,0,-6.25,3.125,-3.125,-3.125,0
4.02,0,-3.125,0,-3.125,-3.125,-3.125
4.04,0,-3.125,9.375,-12.5,0,0
4.06,0,-3.125,0,-3.125,0,0
4.08,0,-3.125,0,-3.125,-3.125,0
4.1,-3.125,-3.125,0,0,-3.125,-3.125
4.12,-3.125,-3.125,-3.125,0,-3.125,-3.125
4.14,-3.125,-3.125,0,0,-3.125,0
4.16,-3.125,-3.125,-3.125,-3.125,-3.125,-3.125
4.18,0,-3.125,0,0,0,0
4.2,-3.125,-3.125,0,0,-3.125,-3.125
4.22,-3.125,-3.125,0,0,-3.125,-3.125
4.24,-3.125,-3.125,0,0,-3.125,-3.125
4.26,0,-3.125,0,0,-3.125,0
